Label,Colabs
ACVC,21
Balloon Latam,11
CCS,11
CoLab UC,12
CORFO,32
Equitas Capital,4
FIA,9
Fundación Más Ciencia,9
Ganesha Lab,10
Global Shapers,4
Hubtec,15
Incuba UC,22
INIA,5
Iniciativa Milenio,15
Innova UTEM,12
INNOVO-USACH,15
PUCV,9
RT Electronics,11
Santiago Innova,12
Simón de Cirene,7
Start-Up Chile,13
Startup Weekend,13
UC,7
Universidad Mayor,29
USACH,18
