Label,
BNI Jalisco,10
Bosch,3
CIATEJ,16
CIE ITESM GDA,13
CISAI,2
CreAtinnovArte,6
CUTonalá,7
DataLab,6
Enlace E+E GDA,16
ESMEX,9
FUN,10
Global Proteus,13
Global Shapers GDL,8
inMateriis,18
Inncampo,14
iTuesday,18
Jóvenes COPARMEX,10
LINE CUCEA,17
MIT EF México,20
Numbelt,9
OTT ITESM GDA,4
OTT ITESO,18
PNP,4
Pragmatec,18
Red Bean,5
Reto Zapopan,19
Sarape Social,4
SCAL,4
SICYT,12
Skytechture,12
Talent Network,18
Zapopan Lab,3
