,1 Foundational Institutions,2.01 I-Human Capital,2.02 I-Funding,2.03 I-Infrastructure,2.04 I-Demand,2.05 I-Culture & Incentives,3.01 E-Human Capital,3.02 E-Funding,3.03 E-Infrastructure,3.04 E-Demand,3.05 E-Culture & Incentives,4 Comparative Advantage,5 Impact,avg strength,weight,Degree,Weighted Degree,Eccentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness,Core Ratio,Central Point Dominance,Spectral radius
México,3.5219999999999994,2.278,1.56,3.3175,3.11,2.5149999999999997,3.115,2.2999999999999994,3.6275000000000004,3.4299999999999997,2.97,2.9299999999999997,3.725454545454546,3.4773876903444823,1.3886287625418052,3.658862876254181,12.963210702341135,5.622073578595319,0.0759400702341137,7,4,3.82031828690714,0.05,0.28932026537809863,0.6771493264436462,0.4214046822742475,0.20199999999999999,1.91
Argentina,3.169,2.034666666666667,1.74,3.31,2.716666666666667,1.795,3.075,1.7233333333333334,3.7125000000000004,3.175,2.965,2.58,3.7818181818181817,3.24463275,1.4815789473684209,4.385964912280701,14.017543859649123,4.798245614035086,0.14879081140350878,6,3,3.3556689079527016,0.10739164086687307,0.32577285725335,0.9608066521709908,0.4956140350877193,0.251,1.868
Chile,3.9130000000000003,2.5806666666666667,1.2025,3.6925,2.9600000000000004,1.9549999999999998,4.155,2.2066666666666666,3.9974999999999996,3.205,3.455,3.11,4.091818181818183,3.4172109794871792,1.462564102564102,3.948717948717949,13.764102564102563,5.041025641025642,0.1340367487179487,6,3,3.2275442770288127,0.10074358359318783,0.3388888888889442,0.906813593858747,0.4307692307692308,0.525,1.89
Brasil,3.1769999999999996,1.8279999999999998,1.84,3.265,2.8766666666666665,2.755,2.975,1.991666666666667,3.6775,3.46,3.4383333333333326,2.74,3.6718181818181814,3.4306687592592584,1.253703703703704,3.3703703703703702,11.694444444444445,6.726851851851853,0.12992756018518514,8,4,4.324031007751938,0.07857142857142857,0.266719012755837,1.211793728337516,0.4212962962962963,0.237,1.983
España,3.929,2.992,1.95,3.9524999999999997,3.0766666666666667,3.83,3.19,2.4233333333333333,4.2925,3.365,2.6266666666666665,2.84,3.8645454545454543,3.5183867489539757,1.36234309623431,3.790794979079498,12.861924686192467,6.079497907949791,0.12050969874476992,8,5,3.783516753981928,0.08191653786707882,0.29465342622415475,1.1410329702664386,0.4393305439330544,0.184,1.92
Uruguay,3.78,2.1713333333333336,1.5025000000000002,3.615,2.57,1.245,3.045,2.0050000000000003,3.9050000000000002,2.74,3.143333333333333,2.48,4.1475757575757575,3.227742045454545,2.749494949494955,7.7474747474747465,25.939393939393934,4.47979797979798,0.20774660606060608,6,3,3.0811157257857764,0.22452327250358828,0.3608367943394337,1.2745185062977642,0.5656565656565656,0.179,1.778
