Ciudad,País,d1,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricidad,Clustering,Modularidad con pesos (0.8),Modularidad con pesos (1.0),Modularidad con pesos (1.2),Modularidad sin pesos (0.8),Modularidad sin pesos (1.0),Modularidad sin pesos (1.2),Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness
CABA,Argentina,2.279646008849557,3.088495575221239,3.088495575221239,6.176991150442478,9.601769911504425,9.601769911504425,19.20353982300885,3.8849557522123894,,0.348,0.352,0.348,0.342,0.351,0.349,5,3,2.6956384323640963,0.15344207907105337,0.4126237884534253,1.0362945088429816
CDMX,México,2.307936499999999,2.611111111111111,2.611111111111111,5.222222222222222,9.063492063492063,9.063492063492063,18.126984126984127,3.619047619047619,0.11059191269841266,0.421,0.437,0.419,0.431,0.405,0.432,6,3,3.020952380952381,0.10093896713615023,0.3718920634920404,1.0945979671999446
Santiago de Chile,Chile,2.4047618809523805,2.9285714285714284,2.9285714285714284,5.857142857142857,9.845238095238095,9.845238095238095,19.69047619047619,3.8095238095238093,0.22083729761904763,0.35,0.357,0.356,0.354,0.353,0.359,5,3,2.591508892713712,0.17789072426937738,0.4332807420156935,1.160328853871415
Montevideo,Uruguay,4.348214276785714,5.232142857142857,5.232142857142857,10.464285714285714,17.142857142857142,17.142857142857142,34.285714285714285,4.267857142857143,0.23740924999999988,0.203,0.288,0.413,0.196,0.285,0.398,5,3,2.454954954954955,0.26031142279805064,0.4584513084512756,1.18607152066517
Madrid,España,2.118095238095237,2.7333333333333334,2.7333333333333334,5.466666666666667,8.790476190476191,8.790476190476191,17.580952380952382,5.0476190476190474,0.1876655428571429,0.331,0.443,0.575,0.31,0.404,0.528,5,3,2.9153846153846152,0.1368330464716007,0.3884615384615562,1.1437724278632029
Sao Paulo,Brasil,1.973626373626372,2.3626373626373627,2.3626373626373627,4.725274725274725,8.153846153846153,8.153846153846153,16.307692307692307,3.8241758241758244,0.24411632967032973,0.375,0.514,0.671,0.373,0.502,0.646,6,4,3.195848595848596,0.14213926776740848,0.36233618233618725,1.2301538786218238
