Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9
G0,3.3603603603603602,4.743243243243243,0.20734509775662524,6.0,3.0,3.317557376380906,0.059930313588850176,0.32824317530211655,0.42857142857142855,0.3963963963963964,0.20096992432065028,1.8493440594447987,0.8955811014634544,1.5813555891088846,0.7421847399610413,-0.2965814017462768,0.12197283593067042,0.08064560685022981,0.9917770924945704,0.22955957693845372,0.5758904271194506,0.4705487793939262,0.5270044951063626
G1,3.33920704845815,4.814977973568282,0.2032509142557602,6.0,4.0,3.406884721843203,0.06161026837806301,0.32121489740502573,0.38095238095238093,0.4052863436123348,0.20513094504582846,1.8538544628978488,0.8968266344392032,1.583483668697006,0.7317686767573198,-0.30631619875675486,0.11934361579156409,0.0801689242312609,0.9775388221707539,0.22904125766698383,0.5756621893552202,0.4712966736599504,0.5241642116962875
G2,3.638095238095238,5.352380952380952,0.23332221202923967,7.0,4.0,3.2748689906584643,0.07577720207253887,0.33512732046577365,1.0,0.4238095238095238,0.19580417161258518,1.8755435415977275,0.9080428343586239,1.7018212022237764,0.7449783434542387,-0.3103055716067883,0.11744956674366941,0.08073197541160401,0.9870949987287887,0.2413833202627061,0.5660380562087748,0.47725995322509995,0.5903919980362162
G3,3.711442786069652,5.1393034825870645,0.24992383702562157,6.0,4.0,3.2667164179104478,0.09148407499435283,0.33568076285248455,1.0,0.43781094527363185,0.1904437142951409,1.8212664656593862,0.9183830845771144,1.7589821860495136,0.7490678229214642,-0.29663935031207755,0.11110097072381332,0.07947498610256393,0.9893538925732055,0.26024059351567835,0.5733124921203205,0.48011685728917425,0.5953741978687085
G4,3.25,5.301724137931035,0.18781192880660086,7.0,4.0,3.3737498134049857,0.06836461126005362,0.32330891604301953,1.0,0.3577586206896552,0.20242218373114967,1.8659684454492775,0.9169465591879385,1.3901711578706637,0.7543209373642763,-0.33665514570600363,0.1009121669553187,0.07205203601503371,1.033914906613418,0.23111102678661616,0.5630289419626677,0.4712189985101098,0.5729638650269834
Mean,3.45982108659668,5.070325957942115,0.2163307979747695,6.4,3.8,3.3279554640396016,0.0714332940587717,0.328715014413684,0.7619047619047619,0.40421236595630844,0.1989541878010709,1.853195395009808,0.9071560428052668,1.6031627607899686,0.7444641040916682,-0.3092995336255802,0.11415583122900719,0.07861470572213847,0.9959359425161474,0.23826715503408763,0.5707864213532868,0.47408825241565217,0.5619797535469117
Santiago real,3.948717948717949,5.041025641025642,0.3111567473970119,6.0,3.0,3.2275442770288127,0.10074358359318783,0.3388888888889442,1.0,0.4307692307692308,0.525,1.89,0.535,5.571008675471697,0.9567478570975168,0.10300480208538731,0.3607242986703179,0.24769740408772767,1.0088632417129013,0.27110660420679256,0.6024215101409018,0.5695358000297066,0.6206438474900227
