Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9
G0,3.450199203187251,5.605577689243028,0.104349220549586,7.0,4.0,3.693418326693227,0.05656272661348803,0.300007285145242,1.0,0.4262948207171315,0.174533843002643,1.9102254629579734,0.9292589641434263,0.8153942844463505,0.6787931193284511,-0.39429520682677166,0.072745330250997,0.05931331021142086,0.9302751910415985,0.20816352420424228,0.5407409753987871,0.4519873718294114,0.5718516626441464
G1,3.4352941176470586,5.47843137254902,0.10309472768942222,7.0,4.0,3.619546086150996,0.06050882420352968,0.3042606438901889,1.0,0.40784313725490196,0.1646225436524594,1.911770491721789,0.9126447429365447,0.8692344699983693,0.7045255279979952,-0.36534127341118694,0.08372546157493559,0.07010004603142778,0.9569263308388166,0.21535903170658632,0.5416458633779468,0.45095047834080754,0.566190287275796
G2,3.442231075697211,5.2151394422310755,0.1352176840359226,6.0,4.0,3.603792828685259,0.05994423791821561,0.3049232403719482,0.26666666666666666,0.4302788844621514,0.1679237876614459,1.8624468221600528,0.917609561752988,0.9832243299977553,0.690923255182594,-0.3609926564192796,0.08822610728554528,0.06727211797011409,0.9345885938280123,0.21797670414350076,0.5454701579855892,0.44875312746187945,0.4916161448529941
G3,3.4196078431372547,5.188235294117647,0.13049814812928273,7.0,4.0,3.545314188667593,0.05618231046931408,0.30906291125382385,1.0,0.403921568627451,0.20438224481743203,1.8947455683997783,0.9241006638876023,0.9429138172110408,0.7012341054656113,-0.36611167799212874,0.08294103096058524,0.06262789934447728,0.9613236530956869,0.21460261367643976,0.548139330305219,0.45123879168708797,0.5651197211820607
G4,3.6147540983606556,5.528688524590164,0.0830462860505716,7.0,4.0,3.540781218376847,0.043227665706051875,0.31170719249053797,0.3333333333333333,0.430327868852459,0.13380599874857568,1.9074905623930822,0.9006442690413546,0.8353683263519925,0.689448789249683,-0.3648346888284565,0.08551741666668812,0.06879155019115682,0.9246069893441309,0.19355421747270984,0.5423425503641334,0.4534925018918834,0.5045298905365269
Mean,3.4724172676058864,5.403214464546187,0.11124121329095704,6.8,4.0,3.6005705297147843,0.055285152982119855,0.3059922546303482,0.72,0.41973325598281896,0.1690536835765112,1.8973357815265348,0.9168516403523832,0.8892270456011018,0.6929849594448669,-0.37031510069556467,0.08263106934775025,0.06562098474971936,0.941544151629649,0.20993121824069577,0.543667775486335,0.451284454242214,0.5398615412983048
Madrid real,3.790794979079498,6.079497907949791,0.26668351860674755,8.0,5.0,3.783516753981928,0.08191653786707882,0.29465342622415475,1.0,0.4393305439330544,0.184,1.92,0.606,4.256042609212872,0.8539046921247062,-0.06494276818681188,0.29793509490093134,0.20102348643914064,0.9372394201581791,0.22846547793265953,0.5628901650454146,0.5264300633967112,0.605879225908824
