Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9
G0,3.403361344537815,5.2100840336134455,0.16592255353943902,7.0,4.0,3.505478140623338,0.06292717416921989,0.3131543756744221,0.3333333333333333,0.39915966386554624,0.15168361918452938,1.9112696470582264,0.9003829379853208,1.3696906519780148,0.7263102489182085,-0.332365904270711,0.10806238099859213,0.07822017824523804,0.9769218859780958,0.22357297355309028,0.5647726570782515,0.46935612833500673,0.5168469168715808
G1,3.565610859728507,4.868778280542986,0.17637104433365394,6.0,4.0,3.3847799259563964,0.05763618677042802,0.32339572192524524,1.0,0.43891402714932126,0.16552450006506006,1.835018957614583,0.9031674208144796,1.4181461275804625,0.7099911847137728,-0.3167451775463156,0.10940340252192919,0.0753564007252821,0.942117881546352,0.2238022296187223,0.5754040133286518,0.4726434857474667,0.5910523783556432
G2,3.5217391304347827,5.343478260869565,0.2245377487532808,6.0,4.0,3.46519840516423,0.07522429261559696,0.3178551990381523,1.0,0.41739130434782606,0.13716761548403877,1.9059342033077458,0.9219479779760774,1.5724624454104161,0.7234098504917975,-0.3417244667942566,0.1021997579519787,0.07098056468284117,0.9756881873059231,0.23670070077736496,0.5626956860903162,0.4712733075668689,0.5858650605991276
G3,3.4444444444444446,4.923076923076923,0.23646682307583966,6.0,4.0,3.416529107516232,0.0703336339044184,0.3202670481641591,0.7,0.41452991452991456,0.15286931634625212,1.9031643137253975,0.9287443600748322,1.5926349463357687,0.718963544766204,-0.33501867800625473,0.09812555361681166,0.06550076917992495,0.9760707675386628,0.23762974512292712,0.5723518256254503,0.47078273866033815,0.5581038940012851
G4,3.8840579710144927,4.6521739130434785,0.1302494612606691,5.0,3.0,3.305379672623235,0.08499546690843154,0.33220768256657485,1.0,0.45893719806763283,0.12629687937525289,1.8487238562172585,0.8623891937526382,1.3670137986118873,0.7565399535648708,-0.23023277324959446,0.12579168529894558,0.1091084899129472,0.9582659514073735,0.2603703224435859,0.5814695691765813,0.4755196135757692,0.5948322706682516
Mean,3.5638427500320082,4.999518282229279,0.1867095261925765,6.0,3.8,3.4154730503766864,0.07022335087361894,0.3213760054737107,0.8066666666666666,0.4257864215920482,0.14670838609102665,1.8808221955846425,0.9033263781206695,1.4639895939833099,0.7270429564909707,-0.31121739997342646,0.10871655607765145,0.07983328054924668,0.9658129347552814,0.23641519430313812,0.5713387502598501,0.4719150547770899,0.5693401040991777
GDL real,5.06951871657754,4.705882352941177,0.3134133642034442,6.0,3.0,3.2084986487263527,0.12439193884642112,0.3424443677764813,1.0,0.5401069518716578,0.287,1.804,0.511,4.845969303063372,0.9412828306870735,0.16833630662290244,0.37279408580847234,0.2739642674722916,0.9267293547512446,0.29765483495765865,0.5862622208128161,0.5534803504958234,0.615686560474473
