Id,Label,timeset,d1,d0,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
CCS,CCS,,2.8,Vinculador,3,9,12,5,0.344037,0.432444,280.192857,4,0.155556,0.072444,9,26,35
Fundación País Digital,Fundación País Digital,,1.4,Vinculador,1,1,2,7,0.274725,0.313143,0,4,0.5,0.024019,3,4,7
Sofofa,Sofofa,,3,Vinculador,5,0,5,0,0,0,0,1,0.3,0.145111,15,0,15
Know Hub Chile,Know Hub Chile,,1.2,Habilitador,2,0,2,0,0,0,0,1,0,0.056898,6,0,6
Universidad Adolfo Ibañez,Universidad Adolfo Ibañez,,2,Habilitador,2,1,3,7,0.272727,0.312032,0,6,0.333333,0.070387,6,4,10
Incuba UC,Incuba UC,,2.6,Habilitador,5,14,19,6,0.386598,0.497111,828.169048,4,0.095833,0.469523,15,51,66
RT Electronics,RT Electronics,,0.6,Habilitador,2,3,5,6,0.298805,0.346,149.5,5,0.1,0.015647,7,12,19
CDT,CDT,,0.6,Habilitador,0,3,3,7,0.277978,0.329901,0,2,0,0,0,11,11
Fablabs.io,Fablabs.io,,1.6,Habilitador,1,1,2,6,0.245902,0.278,10.916667,2,0,0.029636,3,5,8
ASIPLA,ASIPLA,,1,Vinculador,2,0,2,0,0,0,0,2,1,0.055852,6,0,6
Acafi,Acafi,,1.2,Vinculador,2,0,2,0,0,0,0,1,0,0.16776,6,0,6
Endeavor,Endeavor,,3,Habilitador,4,1,5,8,0.219941,0.251714,1,1,0.3,0.105815,11,4,15
ASECH,ASECH,,1.4,Vinculador,3,2,5,5,0.321888,0.360222,178.383333,1,0.166667,0.143078,6,2,8
Fundación Chile,Fundación Chile,,3.2,Habilitador,5,0,5,0,0,0,0,4,0.3,0.42015,16,0,16
Start-Up Chile,Start-Up Chile,,5.6,Habilitador,11,5,16,7,0.277778,0.340921,228.966667,4,0.129167,0.500053,38,21,59
Red GT,Red GT,,1.2,Vinculador,1,1,2,7,0.245161,0.279543,0,1,0.5,0.00259,3,3,6
Acción Emprendedora,Acción Emprendedora,,1.4,Habilitador,1,1,2,5,0.323276,0.356889,119.116667,1,0,0.111456,3,4,7
Fondo Alerce,Fondo Alerce,,2,Habilitador,4,0,4,0,0,0,0,4,0.5,0.461378,11,0,11
Ministerio de Educación,Ministerio de Educación,,1.2,Articulador,2,0,2,0,0,0,0,0,0.5,0.04262,6,0,6
Startup Weekend,Startup Weekend,,0.6,Comunidad,2,8,10,6,0.326087,0.403556,294.37619,3,0.055556,0.036419,8,32,40
INNOVO-USACH,INNOVO-USACH,,1.8,Habilitador,3,8,11,5,0.388601,0.455333,739.1,4,0.144444,0.352743,8,29,37
Gobierno Regional Metropolitano de Santiago,Gobierno Regional Metropolitano de Santiago,,2.6,Articulador,2,2,4,5,0.315126,0.349111,275.883333,4,0.333333,0.26159,6,7,13
