Ciudad,País,avg strength,weight,Degree,Weighted Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Average Collaborations,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9,Colab 10,Colab 11,Colab 12,Colab 13,Colab 14,Colab 10 rescaled
CABA,Argentina,3.2446327499999996,1.4815789473684209,4.385964912280702,14.017543859649123,4.798245614035087,0.3002150996924697,6,3,3.355668907952701,0.10739164086687307,0.32577285725335,1.0064805035612747,0.8666666666666667,0.4956140350877193,0.251,1.868,0.527,13.48,5.773442678862118,0.9218574805763633,0.11457400451876054,0.3550506069895965,0.25204006032003,0.9375504630325037,0.277218773218661,0.3225604012177793,0.36409870663951693,0.34396909863654834,0.4928501736833135,0.31424636859389143,0.31226454345491006,0.3880244407294421,0.4270031604944362,5.928501736833136
CDMX,México,3.477387690344482,1.3886287625418052,3.6588628762541804,12.963210702341136,5.622073578595318,0.17878802312593384,7,4,3.82031828690714,0.05,0.28932026537809863,0.6149725449451627,0.3611111111111111,0.4214046822742475,0.202,1.91,0.623,12.33,3.6361905472638205,0.817117924240975,-0.10580941933338261,0.25259325296767354,0.16518309782537388,0.9179155831038512,0.19720602734821258,0.2866591641402488,0.3089415273911488,0.30486814382744876,0.39766676137735846,0.26716737047825184,0.26696547306982277,0.3423056047160442,0.32026424876497245,4.976667613773585
Santiago,Chile,3.4172109794871792,1.4625641025641019,3.948717948717949,13.764102564102565,5.041025641025641,0.3111567473970119,6,3,3.227544277028813,0.10074358359318782,0.3388888888889442,1.0518599813264755,1.0,0.4307692307692308,0.525,1.89,0.535,13.04,5.571008675471697,0.9567478570975168,0.10300480208538731,0.3607242986703179,0.24769740408772767,1.0088632417129013,0.27110660420679256,0.3162153400853922,0.3573420925605959,0.3400559013740247,0.4809878106112869,0.3118259929304845,0.29394434479256426,0.36955844244299496,0.40775547442189936,5.809878106112869
Montevideo,Uruguay,3.227742045454545,2.749494949494955,7.747474747474747,25.939393939393938,4.47979797979798,0.3672663587982893,6,3,3.0811157257857764,0.22452327250358828,0.3608367943394337,1.1975877796443828,1.0,0.5656565656565656,0.179,1.778,0.356,13.4,8.47125463111201,1.124531784014739,0.45258441859048537,0.45665116981261733,0.3875650855253491,1.0197035011864561,0.37389929622794876,0.3493548871278211,0.431910475724155,0.3851761568248526,0.588490113590689,0.36093714893308265,0.3606459197118286,0.4363805632076897,0.5027316729546272,6.88490113590689
Madrid,España,3.5183867489539753,1.36234309623431,3.790794979079498,12.861924686192468,6.079497907949791,0.26668351860674755,8,5,3.7835167539819277,0.08191653786707882,0.29465342622415475,0.930158535287913,1.0,0.4393305439330544,0.184,1.92,0.606,12.13,4.256042609212872,0.8539046921247062,-0.06494276818681188,0.29793509490093134,0.20102348643914064,0.9372394201581791,0.22846547793265953,0.287950926962592,0.31662904653768775,0.30940505562597703,0.42624019959305354,0.2863493088950754,0.2783080000551332,0.3535613868976162,0.40364675508472847,5.262401995930535
Sao Paulo,Brasil,3.430668759259259,1.253703703703704,3.3703703703703702,11.694444444444445,6.726851851851852,0.29541427330477354,8,4,4.324031007751938,0.07857142857142857,0.266719012755837,1.0712083183936894,0.2222222222222222,0.4212962962962963,0.237,1.983,0.682,10.38,3.258518269517524,0.7936422931791174,-0.1880516096018467,0.2624527531780624,0.16878306058868053,0.9239941450309692,0.211308823230363,0.2559601636647448,0.2694237344756905,0.28457713453540845,0.38494425516208225,0.2508920385653848,0.2518736791560173,0.3261460001260278,0.2954878169556039,4.849442551620823
AGS,México,3.6314610277216772,1.7979166666666673,4.854166666666667,17.020833333333332,4.510416666666667,0.32873910740946755,5,3,3.120614035087719,0.1401098901098901,0.3635562865497178,1.1820418932080727,1.0,0.59375,0.314,1.868,0.523,8.21,3.6605751703155427,0.9452911766596077,0.20237518358801432,0.3813146046514809,0.28696080348700265,0.9099161766596078,0.31971084173730707,0.26288346919156297,0.30324915371325684,0.3246092837159476,0.4616984469975343,0.30209196269978134,0.29481632922533196,0.3670880144141624,0.44018616937806576,5.6169844699753435
GDL,México,3.5739349512259504,1.8556149732620333,5.06951871657754,17.668449197860962,4.705882352941177,0.3134133642034442,6,3,3.2084986487263527,0.12439193884642112,0.34244436777648135,1.0093135224066523,1.0,0.5401069518716578,0.287,1.804,0.511,10.81,4.845969303063372,0.9412828306870735,0.16833630662290244,0.3727940858084724,0.2739642674722916,0.9267293547512446,0.29765483495765865,0.292898397341554,0.3379358438936813,0.3342268988834616,0.4773305145287289,0.3097950807016434,0.30302670719735475,0.3775816896395555,0.44131185864158096,5.7733051452872886
Pachuca,México,3.5702593519999994,1.5631999999999997,4.064,13.952,4.496,0.2148977792360145,6,3,3.1623225806451614,0.0955137481910275,0.3511075268817093,0.852531189607657,0.5,0.384,0.401,1.86,0.525,9.52,3.686996860738719,0.9921212750727367,0.1440412038983595,0.3263765115437507,0.2490750443975899,1.0626212750727366,0.2783758766372771,0.27283838798990645,0.3125634752083156,0.321532787180005,0.43970739731079034,0.2766039615572292,0.28384558365938833,0.35745230952804685,0.3319333967713307,5.397073973107903
Oaxaca,México,3.9069127516778517,1.883221476510068,4.375838926174497,17.369127516778523,4.456375838926174,0.23439970202957217,5,3,3.3206965354616362,0.10769896193771626,0.33385029324622173,1.1570584178934744,1.0,0.5167785234899329,0.435,1.846,0.533,6.39,2.495120182304686,0.9166599934389714,0.13294684554538383,0.3273495989749658,0.2525980346846883,0.924770731694005,0.2856151042269785,0.2247979139170614,0.26210773675261856,0.29287895798399133,0.39942187721980926,0.26577052424905157,0.2581347954809482,0.3276236555821782,0.3856829191811554,4.994218772198092
